_id,geometry,map_id,name,province,district,commune,landarea_h,capital,developer,cdc_num,date_cdc,sub_decree,date_sub,cdc_status,cur_status,pre_status,com_invest,reference,referen_kh,last_updat,language,cap_inv_m,Latitude,Longitude
11,0101000020887F0000974888019F5D1841B81B2A5D90D43141,7,Kampot SEZ,Kampot,Kampot,Koh Touch,145,15000000,Oknha Vinh Huor,1947,23-May-06,3,9-Jan-07,Operating,Feb 2014__Infrastructure developing: landfilling and building Kampot Seaport.,Jul 2011__Under construction,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_03__09.01.2007.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,English,0,10.569502,104.078713
12,0101000020887F00007D6E116AF9141D41C82C726FCF5E3341,8,Phnom Penh SEZ,Phnom Penh,Pur SenChey,Kantaok;Phleung Chheh Roteh;Boeng Thum,350.001,59000000,Neak Oknha Kith Meng (Mr.),268,20-Feb-06,33,19-Apr-06,Operating,"Feb 2014__Fencing, roads, administrative building, entrance, electricity, water, and telecommunication systems have been installed.",Jul 2011__Operational,100 Companies,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_33__19.04.2006.pdf;CDC_SEZ_Operating__00.00.2023.pdf;RGPPSEZ_presentation_EN__00.06.2023.pdf,,17/10/2023,English,0,11.48355,104.784328
13,0101000020887F00003B00000000CF0C41FCFFFFFF3F123741,9,Poi Pet O'Neang SEZ,Banteay Meanchey,O'Chhrov,Nimitt; Poipet,467,15000000,Mrs. Van Ny,3412,7-Oct-05,57,1-Jun-06,Operating,"Feb 2014__Infrastructure developing: fencing, entrance gate, electric pole.",Jul 2011__Under construction,1 Company,All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_57__01.06.2006.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,28/03/2016,English,0,13.664943,102.559502
14,0101000020887F0000347C3487F5C41041B36D1F4507A83341,10,Neang Kok Koh Kong SEZ,Koh Kong,Mondol Seima,Pak Khlang,335.43,,Okhna Ly Yong Phat,3399,26-Nov-02,159,26-Oct-07,Operating,Feb 2014__Infrastructure developing: fencing,Jul 2011__Under construction,2 Companies,All_SEZ_list_by_2009.pdf;Sub-decree_No_159__26.10.2007.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,28/03/2016,English,0,11.645726,102.933879
15,0101000020887F00004519F0C48FB11041A4FBB172AAA93341,11,Suoy Chheng SEZ,Koh Kong,Mondol Seima,Pak Khlang,100,14000000,Mrs. Kao Souy Chheng,3391,26-Nov-02,Not found,Not Found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,English,,11.649432,102.922469
16,0101000020887F0000FAFA3DA5BB0516413446E9EFD6B93241,12,Oknha Mong SEZ,Koh Kong,Srae Ambel,Srae Ambel,100,40107080,Oknha Mong Rithy,26,4-Jan-07,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,English,,11.098991,103.725594
17,0101000020887F0000A255FB74B66615417DC5C415851D3241,13,Kampong Saom SEZ,Preah Sihanouk,Stung Hav,Ou Treh,255,190000000,Okhna Kith Meng,21,6-Jan-09,Not found,Not found,Not found,Feb 2014__Infrastructure developing: landfilling and building Kampot Seaport.,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,9/4/2014,English,,10.736762,103.63408
18,0101000020887F000024C0255A0BB122415F2BC61AC5A63241,14,Pacific (SEZ) I C,Svay Rieng,Svay Teab,Chrak Mtes,107.55,70000000,Mr.Chea Eav Meng; Mr.Gau Hieck Huor;Mrs.Yin Phanny; Mrs.Sim Moniroth;Mr.Ly Vireak,20,6-Jan-09,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,English,,11.055782,106.029818
19,0101000020887F0000495D031217AC12416B157E2F01DF3241,15,Kiri Sakor Koh Kong SEZ,Koh Kong,Kiri Sakor,Prek Khsach;Phnhi Meas,0,110818860,Okhna Ly Yong Phat,4762,25-Dec-07,125,5-Sep-08,Not found,Feb 2014__Infrastructure developing,Jul 2011__Under construction,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;Sub_decree_No_125__15.09.2008.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,English,,11.182451,103.22264
20,0101000020887F00003607296FED3F1541D2734EF65BE93141,16,S.N.C SEZ,Preah Sihanouk,Prey Nob,Bet Trang,150,14000000,Oknha Kong Triv,3388,26-Nov-02,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,English,,10.615929,103.611933
21,0101000020887F0000952118710335154165C7313F841A3241,17,Stung Hav SEZ,Preah Sihanouk,Stung Hav,O'Tres,192,14000000,Ms. Lim Chhiv Ho,544;1114,18 Feb 2005;28 May 2010,50,25-Mar-05,Operating,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,English,0,10.729682,103.60503
22,0101000020887F0000C22E7546CE591541FC13E580E21B3241,18,Sihanoukville SEZ,Preah Sihanouk,Stung Hav,O'Tres,178,100000000,Oknha Lav Meng Khin,1966,4-Sep-98,113,25-Oct-06,Operating,Feb 2014__Infrastructure developing,Jul 2011__Under construction,2 Companies,All_SEZ_list_by_2009.pdf;Sub_decree_No_113__25.10.2006.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,28/03/2016,English,0,10.732944,103.626545
